1840000 0.386 68.117 4.424 -1153.143 0.000 65.549 -1087.594 121.100  3052 0.920 30.992 0
1850000 0.387 68.117 4.424 -1153.098 0.000 68.743 -1084.356 115.770  3078 0.925 30.990 0
1860000 0.387 68.117 4.424 -1170.790 0.000 62.752 -1108.038 120.792  3096 0.930 30.870 0
1870000 0.386 68.117 4.424 -1204.407 0.000 76.968 -1127.439 101.065  3162 0.935 30.851 0
1880000 0.388 68.117 4.425 -1188.499 0.000 70.755 -1117.744 117.282  3124 0.940 30.831 0
1890000 0.387 68.117 4.425 -1192.433 0.000 66.569 -1125.863 107.376  3140 0.945 31.055 0
1900000 0.387 68.117 4.425 -1194.418 0.000 74.578 -1119.840 122.842  3186 0.950 31.069 0
1910000 0.388 68.117 4.425 -1185.514 0.000 75.015 -1110.499 130.659  3100 0.955 31.016 0
1920000 0.387 68.117 4.426 -1168.422 0.000 72.362 -1096.059 118.200  3062 0.960 31.194 0
1930000 0.386 68.117 4.426 -1186.524 0.000 69.805 -1116.719 88.492  3088 0.965 31.311 0
1940000 0.386 68.117 4.426 -1189.681 0.000 60.252 -1129.428 114.515  3050 0.970 31.144 0
1950000 0.387 68.117 4.426 -1177.180 0.000 70.608 -1106.572 136.672  3048 0.975 31.266 0
1960000 0.387 68.117 4.427 -1168.052 0.000 65.417 -1102.635 124.934  3038 0.980 31.324 0
1970000 0.387 68.117 4.427 -1179.657 0.000 73.626 -1106.031 132.564  3090 0.985 31.381 0
1980000 0.387 68.117 4.427 -1191.950 0.000 71.136 -1120.814 117.590  3142 0.990 31.338 0
1990000 0.386 68.117 4.427 -1155.250 0.000 61.620 -1093.629 109.871  3050 0.995 31.403 0
2000000 0.387 68.117 4.428 -1176.975 0.000 70.879 -1106.095 105.995  3098 1.000 31.267 0
2010000 0.387 68.117 4.428 -1180.380 0.000 75.282 -1105.098 115.715  3120 1.005 31.312 0
2020000 0.386 68.117 4.428 -1211.119 0.000 72.965 -1138.154 106.050  3154 1.010 31.254 0
2030000 0.387 68.117 4.428 -1183.294 0.000 64.430 -1118.864 114.709  3134 1.015 31.258 0
2040000 0.387 68.117 4.429 -1174.484 0.000 63.631 -1110.854 116.245  3148 1.020 31.160 0
2050000 0.386 68.117 4.429 -1201.968 0.000 81.443 -1120.525 112.345  3164 1.025 31.057 0
2060000 0.387 68.117 4.429 -1180.538 0.000 74.075 -1106.463 130.285  3134 1.030 31.038 0
2070000 0.387 68.117 4.429 -1206.640 0.000 76.620 -1130.020 121.369  3166 1.035 31.062 0
2080000 0.387 68.117 4.430 -1182.345 0.000 61.624 -1120.720 111.352  3110 1.040 31.169 0
2090000 0.387 68.117 4.430 -1221.210 0.000 73.303 -1147.907 118.728  3178 1.045 31.241 0
2100000 0.387 68.117 4.430 -1184.993 0.000 67.384 -1117.610 109.392  3096 1.050 31.330 0
2110000 0.387 68.117 4.430 -1195.735 0.000 76.966 -1118.769 116.611  3102 1.055 31.240 0
2120000 0.386 68.117 4.431 -1182.936 0.000 63.425 -1119.510 111.367  3058 1.060 31.347 0
2130000 0.387 68.117 4.431 -1197.294 0.000 69.397 -1127.897 131.284  3076 1.065 31.322 0
2140000 0.387 68.117 4.431 -1204.475 0.000 71.770 -1132.704 116.865  3132 1.070 31.331 0
2150000 0.386 68.117 4.431 -1210.213 0.000 72.172 -1138.042 115.179  3148 1.075 31.168 0
2160000 0.387 68.117 4.432 -1190.918 0.000 68.717 -1122.202 110.167  3126 1.080 31.112 0
2170000 0.387 68.117 4.432 -1171.607 0.000 62.708 -1108.899 108.095  3100 1.085 31.295 0
2180000 0.386 68.117 4.432 -1168.095 0.000 72.770 -1095.324 127.731  3058 1.090 31.527 0
2190000 0.388 68.117 4.432 -1184.312 0.000 70.813 -1113.499 134.033  3044 1.095 31.700 0
2200000 0.387 68.117 4.433 -1172.502 0.000 69.818 -1102.684 111.729  3056 1.100 31.906 0
2210000 0.386 68.117 4.433 -1198.227 0.000 70.769 -1127.459 106.709  3080 1.105 31.734 0
2220000 0.386 68.117 4.433 -1167.740 0.000 73.237 -1094.503 120.808  3018 1.110 31.919 0
2230000 0.387 68.117 4.433 -1172.150 0.000 63.849 -1108.301 128.599  3024 1.115 31.752 0
2240000 0.387 68.117 4.434 -1180.731 0.000 69.090 -1111.641 114.977  3088 1.120 31.734 0
